"course_id","skill_id","categories"
"133","11133","[""course_content"", ""description"", ""learning_outcomes""]"
"133","11147","[""course_content"", ""description""]"
"133","11302","[""course_content"", ""description""]"
"133","11623","[""description""]"
"133","12033","[""course_content"", ""description""]"
"133","14160","[""description""]"
"133","17706","[""description""]"
"134","10914","[""description""]"
"134","11072","[""assessment""]"
"134","11666","[""assessment""]"
"134","11699","[""course_content""]"
"135","10891","[""description"", ""objectives""]"
"135","10962","[""course_content""]"
"135","11412","[""learning_outcomes""]"
"135","12033","[""course_content"", ""learning_outcomes""]"
"135","12710","[""course_content""]"
"136","11588","[""description"", ""objectives""]"
"136","13480","[""assessment"", ""course_content""]"
"137","10863","[""course_content"", ""objectives""]"
"137","10876","[""course_content""]"
"137","10877","[""course_content"", ""description""]"
"137","10917","[""course_content""]"
"137","10953","[""learning_outcomes"", ""objectives""]"
"137","10962","[""course_content"", ""description"", ""objectives""]"
"137","10967","[""learning_outcomes"", ""objectives""]"
"137","10989","[""learning_outcomes"", ""objectives""]"
"137","11011","[""objectives""]"
"137","11026","[""course_content"", ""description"", ""objectives""]"
"137","11041","[""objectives""]"
"137","11042","[""course_content""]"
"137","11046","[""course_content""]"
"137","11111","[""objectives""]"
"137","11191","[""objectives""]"
"137","11208","[""description"", ""objectives""]"
"137","11738","[""learning_outcomes"", ""objectives""]"
"137","12839","[""course_content"", ""objectives""]"
"137","13642","[""description""]"
"137","13940","[""course_content""]"
"137","14152","[""objectives""]"
"137","14285","[""description""]"
"137","14831","[""course_content"", ""objectives""]"
"137","14871","[""objectives""]"
"137","18216","[""description""]"
"138","10889","[""course_content"", ""learning_outcomes""]"
"138","10995","[""educational_material""]"
"138","10999","[""course_content"", ""description""]"
"138","11046","[""educational_material""]"
"138","11064","[""course_content"", ""description"", ""learning_outcomes""]"
"138","11278","[""learning_outcomes""]"
"138","11293","[""description"", ""learning_outcomes""]"
"138","12052","[""description"", ""learning_outcomes""]"
"138","18482","[""description""]"
"139","10902","[""course_content""]"
"139","10956","[""objectives""]"
"139","10975","[""description""]"
"139","11013","[""learning_outcomes""]"
"139","11023","[""course_content""]"
"139","11115","[""learning_outcomes""]"
"139","11122","[""description""]"
"139","11144","[""course_content"", ""description""]"
"139","11412","[""course_content""]"
"139","12535","[""description""]"
"139","13824","[""learning_outcomes""]"
"139","18456","[""objectives""]"
"139","18460","[""learning_outcomes""]"
"139","18485","[""learning_outcomes""]"
"140","11588","[""description""]"
"140","13480","[""assessment""]"
"141","12407","[""assessment""]"
"141","14002","[""assessment""]"
"141","18388","[""description""]"
"142","10902","[""assessment"", ""description""]"
"142","10908","[""description"", ""learning_outcomes"", ""lesson_name"", ""objectives""]"
"142","10913","[""assessment""]"
"142","10932","[""description""]"
"142","11072","[""assessment""]"
"142","11084","[""description""]"
"142","11602","[""objectives""]"
"142","11954","[""assessment""]"
"142","12004","[""assessment""]"
"142","12016","[""educational_material""]"
"142","13112","[""assessment""]"
"142","15347","[""assessment""]"
"142","18526","[""description""]"
"143","11077","[""description"", ""lesson_name"", ""objectives""]"
"144","10868","[""description""]"
"144","10962","[""objectives""]"
"144","11008","[""description""]"
"144","11197","[""course_content"", ""description""]"
"144","11381","[""course_content""]"
"144","12635","[""course_content""]"
"144","14591","[""objectives""]"
